hgnc_symbol,nominations,initial_nomination,teams,study,input_data,pharos_class,classification,safety_bucket_definition,abability_bucket_definition,validation_study_details
CETP,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
CFH,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
CFI,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
CHADL,1,"2018","Columbia-Rush","ROSMAP","Genetics, RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
CHCHD3,1,"2019","Chang Lab","MSBB","Genetics, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.",""
CHST11,1,"2019","Chang Lab","ROSMAP","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.",""
CIRBP,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.",""
CISD1,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
CNKSR2,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
CNP,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
CNTNAP2,1,"2018","Duke","ADNI","Genetics, Metabolome",No value,"No value","No value","No value","not prioritized for experimental validation"
COL11A1,1,"2020","Emory","Banner, ROSMAP","Clinical, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
COL1A2,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
COX5B,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
COX6B1,1,"2019","Chang Lab","Kronos, MSBB","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","6: Protein located in intracellular compartment.",""
CPLX1,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
CR1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
CRH,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
CRHR1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",No value,"No value","No value","No value","not prioritized for experimental validation"
CSF1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
CSF1R,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
CSRP1,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
CTHRC1,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
CTLA4,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies completed"
CTSH,1,"2020","Emory","Banner, ROSMAP","Genetics, Protein",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies planned"
CX3CL1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
CX3CR1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
CXCL10,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies completed"
CYBA,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tbio,"12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.",""
CYFIP2,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
CYP19A1,1,"2018","Duke","ADNI","Genetics, Metabolome",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
CYP27A1,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
CYP3A43,1,"2018","Duke","ADNI","Genetics, Metabolome",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DAAM2,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DAG1,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
DAP3,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DBT,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
DCAF12,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.",""
DCLK1,1,"2018","Emory","ACT, BLSA","Protein",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DCN,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
DCTN1,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
DDAH2,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies ongoing"
DESI1,1,"2018","Columbia-Rush","ROSMAP","Genetics, RNA",Tdark,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities.","not prioritized for experimental validation"
DHCR24,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DHRS11,1,"2018","Columbia-Rush","ROSMAP","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
DHTKD1,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
DIRAS1,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
DLD,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
DLG2,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"6: Probably small molecule druggable by homology: >=40% homologous to a  protein with a small molecule ligand identified from ChEMBL data, but the ligand does not meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DLG4,1,"2018","Emory","ACT, BLSA","Protein",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
DLGAP1,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
DMXL2,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DNAJC6,1,"2019","Chang Lab","MSBB, ROSMAP","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.",""
DND1,1,"2018","Columbia-Rush","ROSMAP","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
DNM2,1,"2019","Chang Lab","MSBB","Genetics, Protein",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.",""
DNM3,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
DOC2A,1,"2020","Emory","Banner, ROSMAP","Genetics, Protein",Tbio,"12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","validation studies planned"
DOCK1,1,"2019","Chang Lab","ROSMAP","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.",""
DOCK2,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DOCK3,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
DOCK4,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DPP10,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DPY30,1,"2018","Mayo-UFL-ISB","APP Mice","Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
DPYSL3,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities.","not prioritized for experimental validation"
DTNA,1,"2020","MSSM","MSBB","Genetics, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
DTX3L,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities.","not prioritized for experimental validation"
DYNC2LI1,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.",""
ECE1,1,"2020","Emory","Banner, ROSMAP","Protein",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies ongoing"
EFNA1,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
EFNA5,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
ELAVL2,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"6: Probably small molecule druggable by homology: >=40% homologous to a  protein with a small molecule ligand identified from ChEMBL data, but the ligand does not meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
